INTRA Riemann — mdm
Generado: 2025-10-06 01:44:27
Total filas: 104

subject | acc_mean | f1_macro_mean | k | n_classes | crop | motor_only | zscore_epoch | fb_bands | cov_estimator | model
S078 | 0.3213 | 0.3023 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S079 | 0.4353 | 0.4211 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S080 | 0.6029 | 0.5924 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S081 | 0.4654 | 0.4495 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S082 | 0.3941 | 0.3516 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S083 | 0.5157 | 0.4910 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S084 | 0.3985 | 0.3757 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S085 | 0.8103 | 0.8038 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S086 | 0.8222 | 0.8136 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S087 | 0.3081 | 0.2964 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S090 | 0.3088 | 0.2805 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S091 | 0.3507 | 0.3266 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S093 | 0.7971 | 0.7960 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S094 | 0.7588 | 0.7435 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S095 | 0.5000 | 0.4803 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S096 | 0.3863 | 0.3740 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S097 | 0.2853 | 0.2715 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S098 | 0.4757 | 0.4741 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S099 | 0.3926 | 0.3531 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S101 | 0.3222 | 0.3142 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S102 | 0.5765 | 0.5661 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S103 | 0.4111 | 0.4050 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S105 | 0.4868 | 0.4714 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S106 | 0.3889 | 0.3645 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S107 | 0.4333 | 0.4246 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S108 | 0.4765 | 0.4556 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
S109 | 0.2861 | 0.2295 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
GLOBAL | 0.4848 | 0.4658 | 5 | 4 | (0.5, 4.5) | False | False | 11 | lwf | mdm
