subject,acc_mean,acc_std,f1_macro_mean,f1_macro_std,bal_acc_mean,k,n_classes,crop,n_chans,input_window_seconds,sfreq,drop_prob,n_epochs
S016,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S017,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S018,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S019,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S020,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S021,0.2666666666666667,0.022222222222222233,0.1051383399209486,0.007114624505928852,0.2666666666666667,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S022,0.24444444444444446,0.027216552697590882,0.09802371541501975,0.008713599875513279,0.24444444444444446,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S023,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S024,0.3,0.02857142857142858,0.11520467836257309,0.008187134502923975,0.3,5,4,"(0.5, 4.5)",8,4.0,160,0.5,70
S025,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S026,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S027,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S028,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S029,0.2333333333333333,0.02222222222222223,0.09446640316205532,0.007114624505928851,0.2333333333333333,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S030,0.25555555555555554,0.027216552697590882,0.10158102766798419,0.008713599875513279,0.25555555555555554,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S031,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S032,0.2666666666666667,0.022222222222222233,0.1051383399209486,0.007114624505928852,0.2666666666666667,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S033,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S034,0.24705882352941178,0.02352941176470589,0.09891774891774892,0.00735930735930736,0.24705882352941178,5,4,"(0.5, 4.5)",8,4.0,160,0.5,85
S035,0.22222222222222224,2.7755575615628914e-17,0.09090909090909091,0.0,0.22222222222222224,5,4,"(0.5, 4.5)",8,4.0,160,0.5,90
S036,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S037,0.25882352941176473,0.028817526385684453,0.1025974025974026,0.009013273945306068,0.25882352941176473,5,4,"(0.5, 4.5)",8,4.0,160,0.5,85
S039,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S040,0.23823529411764705,0.005882352941176471,0.09619047619047619,0.001904761904761909,0.23823529411764705,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
S041,0.2607843137254902,0.020812657945216556,0.10331262939958592,0.006592829535441267,0.2607843137254902,5,4,"(0.5, 4.5)",8,4.0,160,0.5,88
S042,0.25,0.022782254977690694,0.09987012987012986,0.0071259145778535945,0.25,5,4,"(0.5, 4.5)",8,4.0,160,0.5,84
