tag,fold,test_acc,test_f1_macro,val_best_acc,val_best_f1,tr_at_best_acc,tr_at_best_f1,gap_acc,gap_f1,gap_acc_abs,gap_f1_abs,params_total,params_trainable,flops_est,latency_s,L,d,enc_heads,enc_layers,D_MODEL,N_LAYERS,BASE_LR,P_DROP,P_DROP_ENCODER,WARMUP_EPOCHS,PATIENCE
GS_nb4_h2_d128_L3_lr1e-3_dp0.1_dpe0.5_wu8_pat8,1,0.7925170068027211,0.7913839878298925,0.7888888888888889,0.7882352941176471,0.8653162757640369,0.8651560520695742,0.07642738687514805,0.0769207579519271,0.07642738687514805,0.0769207579519271,460130,460130,58823424,0.002322988510131836,121,128,4,3,128,3,0.001,0.1,0.5,8,8
GS_nb4_h2_d128_L3_lr1e-3_dp0.1_dpe0.5_wu8_pat12,1,0.7925170068027211,0.7913839878298925,0.7888888888888889,0.7882352941176471,0.8653162757640369,0.8651560520695742,0.07642738687514805,0.0769207579519271,0.07642738687514805,0.0769207579519271,460130,460130,58823424,0.002334723472595215,121,128,4,3,128,3,0.001,0.1,0.5,8,12
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.1_wu4_pat8,1,0.7947845804988662,0.7947252085961278,0.7793650793650794,0.7793511811023621,0.8681592039800995,0.8681571893577993,0.08879412461502012,0.08880600825543716,0.08879412461502012,0.08880600825543716,460130,460130,58823424,0.002340431213378906,121,128,4,3,128,3,0.001,0.2,0.1,4,8
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.1_wu4_pat12,1,0.7947845804988662,0.7947252085961278,0.7793650793650794,0.7793511811023621,0.8681592039800995,0.8681571893577993,0.08879412461502012,0.08880600825543716,0.08879412461502012,0.08880600825543716,460130,460130,58823424,0.0023360395431518553,121,128,4,3,128,3,0.001,0.2,0.1,4,12
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.1_wu8_pat8,1,0.8106575963718821,0.8106281410588543,0.7793650793650794,0.7792043085037985,0.9097370291400142,0.9097347949080622,0.13037194977493483,0.13053048640426368,0.13037194977493483,0.13053048640426368,460130,460130,58823424,0.0023127126693725584,121,128,4,3,128,3,0.001,0.2,0.1,8,8
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.1_wu8_pat12,1,0.8106575963718821,0.8106281410588543,0.7793650793650794,0.7792043085037985,0.9097370291400142,0.9097347949080622,0.13037194977493483,0.13053048640426368,0.13037194977493483,0.13053048640426368,460130,460130,58823424,0.002319755554199219,121,128,4,3,128,3,0.001,0.2,0.1,8,12
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.3_wu4_pat8,1,0.8106575963718821,0.8102866681349763,0.7936507936507936,0.7934426229508197,0.8795309168443497,0.8793150933621441,0.08588012319355609,0.0858724704113244,0.08588012319355609,0.0858724704113244,460130,460130,58823424,0.0022952842712402346,121,128,4,3,128,3,0.001,0.2,0.3,4,8
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.3_wu4_pat12,1,0.8106575963718821,0.8102866681349763,0.7936507936507936,0.7934426229508197,0.8795309168443497,0.8793150933621441,0.08588012319355609,0.0858724704113244,0.08588012319355609,0.0858724704113244,460130,460130,58823424,0.0023170232772827147,121,128,4,3,128,3,0.001,0.2,0.3,4,12
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.3_wu8_pat8,1,0.7959183673469388,0.795866935483871,0.7888888888888889,0.7887350577770158,0.9235963041933192,0.9235881888237258,0.1347074153044303,0.13485313104671004,0.1347074153044303,0.13485313104671004,460130,460130,58823424,0.002305111885070801,121,128,4,3,128,3,0.001,0.2,0.3,8,8
GS_nb4_h2_d128_L3_lr1e-3_dp0.2_dpe0.3_wu8_pat12,1,0.7959183673469388,0.795866935483871,0.7888888888888889,0.7887350577770158,0.9235963041933192,0.9235881888237258,0.1347074153044303,0.13485313104671004,0.1347074153044303,0.13485313104671004,460130,460130,58823424,0.002315993309020996,121,128,4,3,128,3,0.001,0.2,0.3,8,12
